ID_partida,Tipo_IA,Puntuacion_Final,Resultado,Cartas,Plantado
160,IA_dificil,20,Victoria,5,True
161,IA_facil,18,Derrota,5,False
161,IA_medio,18,Derrota,4,True
161,IA_dificil,21,Victoria,5,False
162,IA_facil,20,Victoria,5,True
162,IA_medio,18,Derrota,7,True
162,IA_dificil,19,Derrota,4,True
163,IA_facil,18,Derrota,4,True
163,IA_medio,18,Derrota,9,True
163,IA_dificil,20,Victoria,5,True
164,IA_facil,17,Derrota,5,True
164,IA_medio,18,Derrota,4,True
164,IA_dificil,19,Victoria,6,False
165,IA_facil,19,Victoria,4,True
165,IA_medio,18,Derrota,8,True
165,IA_dificil,17,Derrota,5,True
166,IA_facil,21,Victoria,5,False
166,IA_medio,14,Derrota,4,False
166,IA_dificil,16,Derrota,4,False
167,IA_facil,20,Victoria,5,True
167,IA_medio,19,Derrota,8,True
167,IA_dificil,19,Derrota,5,True
168,IA_facil,17,Derrota,4,True
168,IA_medio,21,Victoria,5,False
168,IA_dificil,16,Derrota,4,False
169,IA_facil,17,Derrota,8,True
169,IA_medio,18,Victoria,5,True
169,IA_dificil,17,Derrota,6,True
170,IA_facil,18,Empate,6,True
170,IA_medio,18,Empate,6,True
170,IA_dificil,17,Derrota,4,True
171,IA_facil,18,Derrota,5,True
171,IA_medio,20,Empate,6,True
171,IA_dificil,20,Empate,7,False
172,IA_facil,18,Derrota,3,True
172,IA_medio,18,Derrota,4,True
172,IA_dificil,19,Victoria,7,False
173,IA_facil,21,Victoria,7,False
173,IA_medio,19,Derrota,5,True
173,IA_dificil,19,Derrota,6,False
174,IA_facil,20,Victoria,5,True
174,IA_medio,19,Derrota,4,True
174,IA_dificil,19,Derrota,5,True
175,IA_facil,19,Empate,5,True
175,IA_medio,19,Empate,7,False
175,IA_dificil,17,Derrota,5,True
176,IA_facil,19,Victoria,6,False
176,IA_medio,17,Derrota,5,True
176,IA_dificil,17,Derrota,4,True
177,IA_facil,17,Derrota,4,True
177,IA_medio,17,Derrota,4,True
177,IA_dificil,19,Victoria,6,False
178,IA_facil,22,Derrota,7,True
178,IA_medio,20,Victoria,6,True
178,IA_dificil,17,Derrota,6,True
179,IA_facil,15,Derrota,5,False
179,IA_medio,15,Derrota,5,False
179,IA_dificil,21,Victoria,5,False
180,IA_facil,21,Victoria,4,False
180,IA_medio,9,Derrota,3,False
180,IA_dificil,8,Derrota,3,False
181,IA_facil,21,Victoria,6,False
181,IA_medio,14,Derrota,5,False
181,IA_dificil,16,Derrota,5,False
182,IA_facil,20,Victoria,4,True
182,IA_medio,18,Derrota,5,True
182,IA_dificil,19,Derrota,4,True
183,IA_facil,19,Victoria,4,True
183,IA_medio,18,Derrota,4,True
183,IA_dificil,17,Derrota,5,True
